,,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,TWN,USA,ROW
AUS,C30,5082.350915,0.095528684,2.566110282,0.012755838,18.17669508,23.93031525,6.608900976,9.202662207,0.006685264,0.020762114,1.276936205,0.097645422,11.04629068,0.013412453,0.029284777,2.481371812,29.6106224,0.153763282,0.17726166,0.001813936,2.250619715,7.293955987,0.53658886,0.950051594,1.10633871,67.9023684,0.000919209,0.000871352,0.554992222,0.143968114,0.001374016,8.548944006,0.117052355,0.619264384,0.009341234,0.02452706,0.670555066,0.002219116,0.019684557,0.156103244,0.053738395,7.287047864,51.7042521,271.1930546
AUS,C31_C32,2236.545761,1.961486027,1.180713246,0.059614539,3.904601705,19.73642642,5.692294168,61.25084416,0.057155578,0.489875666,45.64040426,7.86790852,0.875174673,0.016676648,0.251490615,7.254886868,41.41047617,0.255562605,0.027572728,0.485723508,1.312291935,19.93065761,0.704875427,2.375843325,34.92692467,1.904148848,0.019252729,0.187914148,0.00405486,1.335259277,0.020067941,55.76465548,0.686804113,1.351305073,0.16705225,0.058991493,0.895831869,0.027439642,0.15505463,0.890789343,2.576733216,1.158285188,191.2318172,281.2707108
AUS,C33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,D35,15442.48735,0.212569283,0.892714161,0.013716982,0.173630461,0.243923637,2.31058959,1.899968027,0.000567244,0.125926289,0.870905386,0.254027971,0.064378059,0.003384221,0.04654613,0.256548735,0.701691236,0.065875146,0.0057878,0.016970534,0.21746325,0.079373067,0.008999369,0.16063638,0.779376526,0.293977036,0.000421933,0.000527126,0.010232315,0.030166039,0.000577397,0.206397838,0.136759708,0.057658148,0.026026829,0.025771389,0.041437157,0.000860281,0.011902571,0.170310144,0.055285174,0.162114462,2.203320065,27.8569421
AUS,E36,8111.619726,0.002219396,0.005873363,0.000565248,0.024813517,0.041928021,0.017544239,0.45556662,0.000105972,0.000882685,0.026294581,0.004275192,0.012487034,0.000445697,0.001068311,0.031121647,0.057397614,0.000481721,0.000152019,0.000167827,0.046157048,0.014334876,0.001997344,0.015149412,0.139064868,0.053577934,4.97607E-05,9.64284E-05,0.000136556,0.005353382,0.000107643,0.018628715,0.003416135,0.005355225,0.000444935,0.004480198,0.007464731,0.000156236,0.000297826,0.003724639,0.001940433,0.027197514,0.271702004,-172.1091416
AUS,E37-E39,985.976722,0.000932681,0.001491076,0.000428725,0.055536325,0.022249532,0.018680999,0.421706938,3.33411E-05,0.000283216,0.013770796,0.001586515,0.014042821,0.000101938,0.000375177,0.030884057,0.065442891,0.000278633,5.67836E-05,0.000254753,0.031733275,0.00509039,0.001434889,0.015958791,0.048210358,0.023054174,1.71986E-05,3.59704E-05,5.24223E-05,0.001832109,3.7495E-05,0.009853421,0.002092416,0.00317135,0.000264067,0.001951195,0.002540443,7.37003E-05,0.000188806,0.003002792,0.000756746,0.010362892,0.190588069,1.265562593
AUS,F,228302.0243,0.177662467,1.501664542,0.044766147,13.13366206,3.453453741,7.090461925,50.63259819,0.01282705,0.124158435,1.462296371,0.486159207,1.56144982,0.167920237,0.054369399,3.809846766,5.39573841,0.035539611,0.010991733,0.02184721,3.147942445,0.749286578,0.293456996,2.183216318,6.10209727,3.066926004,0.00292805,0.006054678,0.009831318,0.234324085,0.009450948,2.664516382,0.237984532,0.335153742,0.04318297,0.261159912,0.355779715,0.009302871,0.020785243,0.361005222,0.114977527,1.255848887,36.02051912,127.7022356
AUS,G45,7658.358017,0.025169625,0.039711822,0.000258165,0.004445104,0.00383606,0.123756736,0.144115707,5.21065E-07,0.012177246,1.601847377,0.053516995,0.209999765,0.000297561,5.19568E-06,0.010608952,0.841934785,5.5588E-05,1.5644E-06,0.000956864,0.007104916,9.64614E-05,0.000407645,0.035383179,0.002554054,0.735136032,3.11981E-07,0.000955141,3.78907E-06,0.00130475,0.000294171,0.001509359,0.000494934,0.053449147,0.000301535,0.004350714,0.122033534,2.71111E-06,4.59203E-05,0.675771253,0,0.082713511,6.776241698,8.019606636
AUS,G46,52233.75753,5.935699218,7.574231904,1.130038782,28.23050586,84.63895247,22.51934648,472.4505639,0.283598141,2.412063845,68.2768014,8.20225534,17.71218284,0.337421869,2.799367406,28.07949458,117.6799012,1.206444933,0.619859249,0.50423699,71.86164917,37.9845796,4.269487576,18.2847506,300.1165835,117.9562089,0.24476369,0.21110402,0.370410656,18.76739343,0.258503581,38.08766974,7.371410151,13.24748578,1.030864239,28.06645401,17.93018861,0.409576105,0.574083323,10.3280942,6.250518551,64.40233757,470.3088677,848.4041438
AUS,G47,83629.69699,0.929931056,1.908922185,0.158115825,6.318706218,31.48283373,5.715196873,143.8463867,0.078375918,0.395118474,15.13445826,2.362685984,3.400906277,0.095962009,0.891493805,5.2286573,35.28466642,0.20456774,0.063422807,0.106891574,26.01939489,8.059157561,0.845926887,5.306875707,140.9546097,47.96861876,0.029553881,0.067481803,0.08667659,3.51450206,0.084464949,12.17375731,1.471125145,3.29542462,0.149998683,1.845170974,7.424264459,0.0818935,0.200392367,2.562075191,1.103017285,22.19560575,152.1421479,219.9563276
AUS,H49,20831.78408,4.445606421,7.125249926,0.70786237,19.40591384,73.76846447,19.43966626,377.4576442,0.196383309,1.532599628,52.0716327,7.918352984,13.5872417,0.248790446,2.273209879,23.59368488,94.86324189,0.904275762,0.307376451,0.317556159,67.6504192,30.66856213,2.609039024,14.67294018,297.5032276,113.0276154,0.102406441,0.199424012,0.280827213,11.5311638,0.20434997,29.95602532,5.571125084,8.960849751,0.709465389,8.904727406,15.78921402,0.322672979,0.445396457,8.077679487,4.25481814,57.27177798,367.0147495,595.5146035
AUS,H50,2608.382731,0.239496624,0.40793972,0.039472058,1.028573587,2.875587127,0.816594961,15.70360928,0.007545537,0.070685411,3.825384652,0.699160017,0.531840548,0.011119123,0.115569739,1.298564604,7.980655963,0.086193424,0.01228946,0.012797277,2.628480611,1.884508069,0.104376227,0.606694876,12.90026326,4.362731767,0.003799548,0.007420661,0.0107664,0.425626042,0.012403004,1.194624452,0.359535722,0.324997324,0.039183847,0.337485741,0.584514633,0.012038231,0.017144873,0.551658491,0.655047422,2.142818774,13.86288063,106.7547626
AUS,H51,843.9213135,0.083998325,0.163486526,0.004463716,3.390244415,0.473883047,1.732937314,1.631191071,0.000906208,0.016058016,0.825288511,0.138542251,0.124574987,0.001128658,0.011479064,0.568018286,1.181780405,0.032052064,0.002270242,0.003746419,0.300605487,0.156694673,0.047885079,0.362953958,1.055348656,0.84235836,0.000363219,0.000785552,0.003447512,0.037130389,0.000843349,0.352926319,0.090071715,0.039884066,0.012398708,0.030245631,0.05331439,0.001274112,0.002174209,0.246102034,0.026739353,0.22552925,6.268226098,14.59621464
AUS,H52,15735.86176,3.549310912,7.586794127,0.161448563,6.318285097,8.935952494,4.403270648,44.39431785,0.025162079,0.739817598,41.0604526,6.563648784,2.10110465,0.030281979,0.370563072,14.21545148,24.42269927,1.729673984,0.067335033,0.075253429,10.71319647,4.808992162,0.336840877,3.716653003,38.36711454,15.18998163,0.013585089,0.027191069,0.033092666,1.37200702,0.026655599,3.826330514,4.657968863,1.411671474,0.499820443,1.047717805,1.925568928,0.045403473,0.07751152,11.23101114,0.809610161,7.284562497,47.2460737,194.2267236
AUS,H53,1212.592395,0.044721267,0.091731082,0.005269759,0.562161927,0.494482854,0.35470011,2.951927156,0.001835989,0.013337558,0.484236919,0.085736449,0.10819245,0.001687642,0.015224515,0.278329916,1.03106389,0.013277578,0.002039878,0.002574291,0.466920918,0.211869859,0.0258487,0.151387132,1.926880241,0.747679426,0.000667804,0.00127925,0.001772981,0.094743741,0.001389604,0.227211746,0.068163848,0.060358794,0.007480066,0.056443823,0.099366683,0.002144001,0.003096349,0.106109759,0.02738393,0.362633761,3.203154068,8.013342081
AUS,I,56444.4016,2.34754861,1.485891575,0.020577303,8.62471972,23.57203599,40.76931234,246.9191578,0.044319728,1.595261621,12.25476232,0.0099014,0.449981675,0.052148506,0.845528186,0.088145813,98.71472509,0.000912699,0.572856205,0.297645624,39.3554371,0.030592066,6.912596506,12.75394975,29.97507181,3.414317435,0.00037126,0.015165597,0.008163643,0.013150858,0.00146176,4.545427864,0.089650456,0.01229267,0.25710141,0.087467586,0.016087593,0.007690636,0.018371482,0.089775938,0.004224473,53.25599834,1.382203074,2291.078436
AUS,J58,3528.278357,0.41108481,0.239196997,0.103017718,0.583517173,0.108738633,2.604621262,1.695366127,0.006402319,0.094582139,0.563220864,0.303411787,1.060552441,0.013577737,0.062381237,0.555540219,4.080305198,0.029110234,0.00725588,0.246313351,0.352948165,0.029107189,0.271685686,0.187880971,0.326419523,0.142455777,0.001139209,0.006627181,0.004646828,0.010663349,0.000659459,1.832143697,0.206324576,0.317756459,0.110736162,0.035974614,0.014734477,0.011803203,0.006389762,3.005011301,0.00423438,0.142358281,6.045947741,259.837912
AUS,J59_J60,6210.817928,0.273326392,0.489743947,0.013844582,12.44328549,2.094718986,0.220828755,3.388003136,0.039751066,0.045987594,2.664837046,0.068748496,2.143834547,0.006574683,0.045557535,17.03623982,3.652578845,0.131664394,0.003039783,0.027874657,41.28254563,0.007742268,0.127748811,0.998335236,0.935583625,23.30278096,0.002315434,0.001466386,0.003091502,0.260858355,0.001522073,0.234907606,0.43784631,0.071965436,0.050387958,0.091332365,0.00318329,0.152579256,0.00387145,2.457362368,0.000864387,7.913498383,14.95486926,194.824851
AUS,J61,15011.56333,0.169382477,0.909092608,0.068064693,2.365214979,3.222768076,0.964122403,76.77496086,0.001278877,0.022515905,1.816386665,0.237206948,2.509632283,0.066301908,0.039709689,4.767937961,32.78849061,0.048135502,0.027998124,0.042637505,1.399753224,0.949818894,3.060379822,2.867927704,0.883756849,0.944109317,0.003594428,0.001584035,0.002462155,0.475970401,0.009727226,2.206818936,0.102779241,0.362691121,0.062771357,0.079780447,0.582654536,0.00453784,0.066608831,0.965903455,0.567805613,9.285337505,1.620367605,172.3863722
AUS,J62_J63,15122.38625,0.013934197,0.023350013,0.014367954,5.842774722,0.438360272,2.435894535,8.820709549,0.00042313,0.012767649,0.770411343,0.074956179,1.888439028,0.012399392,0.002651401,0.971733862,0.843920282,0.010639577,0.002633033,0.084739842,0.443676437,0.033044862,0.05406475,0.290158817,0.451702383,0.105489256,0.000113734,0.000301785,0.000573398,0.010261914,0.000312335,0.726609863,0.032995994,0.121011678,0.005356927,0.11428771,0.013587611,0.007347361,0.004556826,0.704846213,0.048537307,0.124314197,4.287156421,450.815022
AUS,K64,31864.55132,0.285718295,0.155098593,0.008890042,8.795983481,0.861429666,0.30433579,24.76323366,0.033557061,0.034163157,1.675802747,1.386952961,1.793205348,0.000886774,0.036720894,1.212131009,36.35725038,0.085094129,0.028855124,0.008031065,1.64282192,0.005501099,0.506319723,0.23963676,4.377963832,1.42898337,0.001171231,0.122630989,0.002815741,0.104436908,0.000377635,1.372098086,0.32821266,0.083874001,0.03990684,0.00678851,0.000357094,0.014661631,0.004188139,0.425484531,2.005418647,0.092519971,3.150318521,844.291374
AUS,K65,35852.27955,0.011939097,0.022399224,0.001828069,0.243780718,0.120607928,0.090702643,1.094556375,0.000988901,0.006951245,0.530586763,0.02328998,0.059494193,0.001035679,0.004030132,0.075349174,0.824557004,0.023141402,0.000370838,0.001106639,0.11442702,0.05072387,0.094993483,0.173852353,0.337594675,0.127543882,0.002253417,0.014098575,0.000471334,0.014612809,0.001295952,0.039336521,0.008738972,0.013046149,0.004150499,0.008570429,0.010819403,0.000965265,0.000958153,0.023538747,0.017282283,0.051705016,4.849537158,96.98978479
AUS,K66,2794.579749,0.09185422,0.453225294,0.001256428,0.467697297,0.056018607,0.199330825,1.409799692,0.025125083,0.055002484,0.024996449,0.553142099,0.292351331,0.000398706,0.001180997,0.128421932,16.0648486,0.000628354,4.82534E-05,0.001592296,0.084921906,0.00263929,0.1501461,0.179457952,0.017853385,0.679464384,3.58869E-05,3.27845E-05,0.000100012,0.000647745,6.58328E-05,0.227348491,0.074234564,0.009862199,0.030273757,0.002086394,0.000960942,0.002672664,0.00048188,0.242056023,0.000400573,0.008039435,0.960848745,243.9787525
